ClientId,# of Orders Placed,# Different products (SKUs) purchased,# of Items Purchased,Max Orders for one SKU,Total Value of all Orders Placed,City,OriginalState,State,Country,Phone,Real Email,Notes,Opt Out,LastPurchaseDate,FirstPurchaseDate
29,2,1,2,2,27.97,ASPERS,PA,PA,US,,,,,2019-03-15 18:36,2017-06-01 9:44
48,9,1,9,9,123.85,ELIZABETHTOWN,KY,KY,US,,,,,2019-07-18 1:49,2017-06-23 12:57
63,4,1,4,4,57.92,BOCA RATON,FL,FL,US,,,,,2018-06-17 16:16,2017-06-16 6:59
125,1,1,1,1,14.98,San Francisco,California,CA,US,,,,,2018-01-11 17:47,2017-06-27 21:02
136,1,1,1,1,31.99,EDEN,UT,UT,US,,,,,2019-07-16 10:10,2017-06-27 16:31
144,7,1,7,7,103.86,SWANZEY,NH,NH,US,,,,,2018-07-19 5:13,2017-06-18 5:01
188,1,1,1,1,14.98,Biddeford Pool,Maine,ME,US,,,,,2018-04-08 12:54,2017-06-28 19:20
201,1,1,1,1,31.99,HOWELL,NJ,NJ,US,,,,,2019-07-23 19:26,2017-06-28 12:50
205,1,1,1,1,13.99,APO,AE,AE,US,,,,,2019-04-02 18:52,2017-06-29 15:29
228,8,1,8,8,111.88,EMERYVILLE,CA,CA,US,,,,,2019-02-14 8:40,2017-05-29 14:11
232,1,1,1,1,12.99,Niagara Falls,New York,NY,US,,,,,2018-12-20 2:56,2017-06-16 6:39
247,1,1,1,1,29.99,CARLTON,OR,OR,US,,,,,2019-03-28 8:51,2017-06-30 10:03
248,1,1,1,1,12.99,HOLLY,MI,MI,US,,,,,2018-12-18 0:55,2017-05-30 8:38
257,1,1,1,1,14.98,MOUNDS,OK,OK,US,,,,,2018-03-10 19:05,2017-06-30 10:05
263,1,1,1,1,13.98,FRANKFORT,IL,IL,US,,,,,2018-04-30 7:55,2017-06-26 13:18
330,2,1,2,2,25.69,Sister Bay,WI,WI,US,,,,,2018-12-10 7:25,2017-06-25 19:16
337,1,1,1,1,14.98,MAGGIE VALLEY,NC,NC,US,,,,,2018-01-06 7:50,2017-07-01 9:07
355,1,1,1,1,14.98,LAS VEGAS,NV,NV,US,,,,,2018-08-04 17:05,2017-07-03 12:05
390,1,1,1,1,13.98,MAPLEWOOD,MO,MO,US,,,,,2018-06-02 5:29,2017-07-04 10:26
393,1,1,1,1,14.98,Birchwood,WI,WI,US,,,,,2018-08-15 2:25,2017-07-04 20:05
397,2,1,2,2,29.96,MIAMI BEACH,FL,FL,US,,,,,2018-01-27 3:47,2017-07-01 7:02
464,6,1,34,6,458.1,OAKLAND,CA,CA,US,,,,,2019-05-03 14:36,2017-07-06 10:21
490,1,1,1,1,13.98,sumner,Washington,WA,US,,,,,2018-04-23 18:08,2017-07-06 14:49
493,1,1,1,1,14.98,Griffin,GA,GA,US,,,,,2018-02-20 13:13,2017-06-06 9:46
499,1,1,1,1,13.99,URBANA,IL,IL,US,,,,,2019-03-28 11:55,2017-07-06 17:47
502,2,1,2,2,27.73,LEXINGTON,KY,KY,US,,,,,2019-05-01 19:12,2017-06-26 23:42
566,1,1,1,1,13.98,WINDER,GA,GA,US,,,,,2018-05-31 12:17,2017-07-07 16:15
569,2,1,2,2,26.73,Walnut,CA,CA,US,,,,,2019-07-15 16:52,2017-07-08 20:49
571,,,,,,New York,New York,NY,US,,,,,2019-08-17 10:48,2017-07-08 14:28
572,1,1,1,1,13.98,ORLANDO,FL,FL,US,,,,,2018-04-23 11:48,2017-07-06 12:20
603,1,1,1,1,12.75,SAN CARLOS,CA,CA,US,,,,,2019-04-28 14:18,2017-07-08 18:39
628,3,1,3,3,37.73,Reno,NV,NV,US,,,,,2019-06-05 9:39,2017-07-09 14:47
663,1,1,1,1,10.99,DALLAS,TX,TX,US,,,,,2018-12-01 19:18,2017-07-09 13:37
842,2,2,2,1,28.77,SOUTH OZONE PARK,NY,NY,US,,,,,2019-06-04 10:42,2017-07-14 10:18
878,1,1,2,1,29.96,GRAND RAPIDS,MI,MI,US,,,,,2018-08-04 14:52,2017-07-15 2:15
893,3,1,5,3,70.92,Sterling,VA,VA,US,,,,,2018-10-24 8:08,2017-07-13 6:33
900,1,1,1,1,14.98,UKIAH,CA,CA,US,,,,,2018-04-07 19:54,2017-06-26 14:10
917,1,1,1,1,11.75,FALLS CHURCH,VA,VA,US,,,,,2019-08-15 10:57,2017-07-16 17:01
943,1,1,1,1,12.99,KIRKLAND,WA,WA,US,,,,,2018-11-07 3:36,2017-07-13 8:28
970,2,1,2,2,27.97,ARLINGTON,VA,VA,US,,,,,2018-10-25 7:53,2017-07-17 11:57
1001,1,1,1,1,12.7,SALT LAKE CITY,UTAH,UT,US,,,,,2018-09-27 15:47,2017-07-18 10:55
1012,2,1,2,2,28.96,LONG BEACH,CA,CA,US,,,,,2018-05-09 21:08,2017-07-16 19:48
