,ClientId,# of Orders Placed,# Different products (SKUs) purchased,# of Items Purchased,Max Orders for one SKU,Total Value of all Orders Placed,City,State,Country,FirstYmd,LastYmd,Firsthm,Lasthm,totaldays
0,29.0,2,1,2,2,27.97,ASPERS,PA,US,2017-06-01,2019-03-15,9:44,18:36,652 days 00:00:00.000000000
1,48.0,9,1,9,9,123.85,ELIZABETHTOWN,KY,US,2017-06-23,2019-07-18,12:57,1:49,755 days 00:00:00.000000000
2,63.0,4,1,4,4,57.92,BOCA RATON,FL,US,2017-06-16,2018-06-17,6:59,16:16,366 days 00:00:00.000000000
3,125.0,1,1,1,1,14.98,San Francisco,CA,US,2017-06-27,2018-01-11,21:02,17:47,198 days 00:00:00.000000000
4,136.0,1,1,1,1,31.99,EDEN,UT,US,2017-06-27,2019-07-16,16:31,10:10,749 days 00:00:00.000000000
5,144.0,7,1,7,7,103.86,SWANZEY,NH,US,2017-06-18,2018-07-19,5:01,5:13,396 days 00:00:00.000000000
6,188.0,1,1,1,1,14.98,Biddeford Pool,ME,US,2017-06-28,2018-04-08,19:20,12:54,284 days 00:00:00.000000000
7,201.0,1,1,1,1,31.99,HOWELL,NJ,US,2017-06-28,2019-07-23,12:50,19:26,755 days 00:00:00.000000000
8,205.0,1,1,1,1,13.99,APO,AE,US,2017-06-29,2019-04-02,15:29,18:52,642 days 00:00:00.000000000
9,228.0,8,1,8,8,111.88,EMERYVILLE,CA,US,2017-05-29,2019-02-14,14:11,8:40,626 days 00:00:00.000000000
10,232.0,1,1,1,1,12.99,Niagara Falls,NY,US,2017-06-16,2018-12-20,6:39,2:56,552 days 00:00:00.000000000
11,247.0,1,1,1,1,29.99,CARLTON,OR,US,2017-06-30,2019-03-28,10:03,8:51,636 days 00:00:00.000000000
12,248.0,1,1,1,1,12.99,HOLLY,MI,US,2017-05-30,2018-12-18,8:38,0:55,567 days 00:00:00.000000000
13,257.0,1,1,1,1,14.98,MOUNDS,OK,US,2017-06-30,2018-03-10,10:05,19:05,253 days 00:00:00.000000000
14,263.0,1,1,1,1,13.98,FRANKFORT,IL,US,2017-06-26,2018-04-30,13:18,7:55,308 days 00:00:00.000000000
15,330.0,2,1,2,2,25.69,Sister Bay,WI,US,2017-06-25,2018-12-10,19:16,7:25,533 days 00:00:00.000000000
16,337.0,1,1,1,1,14.98,MAGGIE VALLEY,NC,US,2017-07-01,2018-01-06,9:07,7:50,189 days 00:00:00.000000000
17,355.0,1,1,1,1,14.98,LAS VEGAS,NV,US,2017-07-03,2018-08-04,12:05,17:05,397 days 00:00:00.000000000
18,390.0,1,1,1,1,13.98,MAPLEWOOD,MO,US,2017-07-04,2018-06-02,10:26,5:29,333 days 00:00:00.000000000
19,393.0,1,1,1,1,14.98,Birchwood,WI,US,2017-07-04,2018-08-15,20:05,2:25,407 days 00:00:00.000000000
20,397.0,2,1,2,2,29.96,MIAMI BEACH,FL,US,2017-07-01,2018-01-27,7:02,3:47,210 days 00:00:00.000000000
21,464.0,6,1,34,6,458.1,OAKLAND,CA,US,2017-07-06,2019-05-03,10:21,14:36,666 days 00:00:00.000000000
22,490.0,1,1,1,1,13.98,sumner,WA,US,2017-07-06,2018-04-23,14:49,18:08,291 days 00:00:00.000000000
23,493.0,1,1,1,1,14.98,Griffin,GA,US,2017-06-06,2018-02-20,9:46,13:13,259 days 00:00:00.000000000
24,499.0,1,1,1,1,13.99,URBANA,IL,US,2017-07-06,2019-03-28,17:47,11:55,630 days 00:00:00.000000000
25,502.0,2,1,2,2,27.73,LEXINGTON,KY,US,2017-06-26,2019-05-01,23:42,19:12,674 days 00:00:00.000000000
26,566.0,1,1,1,1,13.98,WINDER,GA,US,2017-07-07,2018-05-31,16:15,12:17,328 days 00:00:00.000000000
27,569.0,2,1,2,2,26.73,Walnut,CA,US,2017-07-08,2019-07-15,20:49,16:52,737 days 00:00:00.000000000
28,571.0,1,1,1,1,13.98,New York,NY,US,2017-07-08,2019-08-17,14:28,10:48,770 days 00:00:00.000000000
29,572.0,1,1,1,1,13.98,ORLANDO,FL,US,2017-07-06,2018-04-23,12:20,11:48,291 days 00:00:00.000000000
30,603.0,1,1,1,1,12.75,SAN CARLOS,CA,US,2017-07-08,2019-04-28,18:39,14:18,659 days 00:00:00.000000000
31,628.0,3,1,3,3,37.73,Reno,NV,US,2017-07-09,2019-06-05,14:47,9:39,696 days 00:00:00.000000000
32,663.0,1,1,1,1,10.99,DALLAS,TX,US,2017-07-09,2018-12-01,13:37,19:18,510 days 00:00:00.000000000
33,842.0,2,2,2,1,28.77,SOUTH OZONE PARK,NY,US,2017-07-14,2019-06-04,10:18,10:42,690 days 00:00:00.000000000
34,878.0,1,1,2,1,29.96,GRAND RAPIDS,MI,US,2017-07-15,2018-08-04,2:15,14:52,385 days 00:00:00.000000000
35,893.0,3,1,5,3,70.92,Sterling,VA,US,2017-07-13,2018-10-24,6:33,8:08,468 days 00:00:00.000000000
36,900.0,1,1,1,1,14.98,UKIAH,CA,US,2017-06-26,2018-04-07,14:10,19:54,285 days 00:00:00.000000000
37,917.0,1,1,1,1,11.75,FALLS CHURCH,VA,US,2017-07-16,2019-08-15,17:01,10:57,760 days 00:00:00.000000000
38,943.0,1,1,1,1,12.99,KIRKLAND,WA,US,2017-07-13,2018-11-07,8:28,3:36,482 days 00:00:00.000000000
39,970.0,2,1,2,2,27.97,ARLINGTON,VA,US,2017-07-17,2018-10-25,11:57,7:53,465 days 00:00:00.000000000
40,1001.0,1,1,1,1,12.7,SALT LAKE CITY,UT,US,2017-07-18,2018-09-27,10:55,15:47,436 days 00:00:00.000000000
41,1012.0,2,1,2,2,28.96,LONG BEACH,CA,US,2017-07-16,2018-05-09,19:48,21:08,297 days 00:00:00.000000000
42,1025.0,1,1,1,1,12.7,Bayside,NY,US,2017-07-18,2018-09-25,4:30,8:21,434 days 00:00:00.000000000
43,1036.0,1,1,1,1,12.75,DUARTE,CA,US,2017-07-16,2019-05-13,13:13,19:14,666 days 00:00:00.000000000
44,1134.0,1,1,1,1,12.75,CAMBRIDGE,MA,US,2017-07-20,2019-05-10,19:04,10:26,659 days 00:00:00.000000000
45,1138.0,1,1,1,1,33.79,HAIKU,HI,US,2017-07-18,2019-04-27,15:55,18:39,648 days 00:00:00.000000000
46,1157.0,1,1,1,1,11.75,LEWISVILLE,TX,US,2017-07-21,2019-05-27,13:38,21:39,675 days 00:00:00.000000000
47,1172.0,4,1,4,4,57.93,SEATTLE,WA,US,2017-07-07,2019-03-14,16:46,19:15,615 days 00:00:00.000000000
48,1221.0,2,1,2,2,25.74,GREENACRES,WA,US,2017-07-23,2019-05-29,7:01,8:25,675 days 00:00:00.000000000
49,1233.0,3,1,3,3,43.94,OSHKOSH,WI,US,2017-07-23,2018-07-01,19:30,10:08,343 days 00:00:00.000000000
50,1239.0,1,1,1,1,14.98,FARMINGTON,CT,US,2017-07-23,2018-01-29,16:31,6:32,190 days 00:00:00.000000000
51,1257.0,1,1,1,1,13.98,HILLIARD,OH,US,2017-07-21,2018-04-18,11:21,11:18,271 days 00:00:00.000000000
52,1393.0,2,2,7,1,151.89,ANN ARBOR,MI,US,2017-07-26,2019-05-09,15:22,21:24,652 days 00:00:00.000000000
53,1394.0,1,1,1,1,14.98,MILL VALLEY,CA,US,2017-07-26,2018-02-14,15:59,12:28,203 days 00:00:00.000000000
54,1411.0,1,1,1,1,14.98,DAYTON,OH,US,2017-07-27,2018-01-23,17:44,5:47,180 days 00:00:00.000000000
55,1418.0,1,1,1,1,12.99,KAty,TX,US,2017-07-27,2018-10-19,21:31,14:48,449 days 00:00:00.000000000
56,1508.0,4,1,4,4,59.92,webster,TX,US,2017-07-29,2018-09-15,18:40,18:59,413 days 00:00:00.000000000
57,1531.0,1,1,1,1,12.99,DUGSPUR,VA,US,2017-07-28,2018-12-02,15:07,8:01,492 days 00:00:00.000000000
58,1539.0,1,1,2,1,63.98,CHAMPAIGN,IL,US,2017-07-28,2019-08-04,19:43,7:08,737 days 00:00:00.000000000
59,1582.0,1,1,1,1,12.75,ITHACA,NY,US,2017-07-30,2019-04-24,19:14,11:59,633 days 00:00:00.000000000
60,1614.0,1,1,1,1,12.99,FAIRFAX,VA,US,2017-07-31,2018-10-24,10:54,5:12,450 days 00:00:00.000000000
61,1623.0,1,1,1,1,14.98,YORKTOWN HEIGHTS,NY,US,2017-08-01,2018-01-03,12:08,13:31,155 days 00:00:00.000000000
62,1659.0,6,1,6,6,81.39,LOS GATOS,CA,US,2017-08-01,2019-05-24,23:34,6:13,661 days 00:00:00.000000000
63,1728.0,1,1,2,1,29.96,SAGINAW,MI,US,2017-08-03,2018-03-19,16:36,8:20,228 days 00:00:00.000000000
64,1729.0,1,1,1,1,14.98,BRISTOL,CT,US,2017-08-02,2018-03-21,17:45,11:31,231 days 00:00:00.000000000
65,1783.0,1,1,1,1,11.75,ELYRIA,OH,US,2017-08-05,2019-05-22,10:28,11:32,655 days 00:00:00.000000000
66,1792.0,1,1,1,1,13.98,SAN ANTONIO,TX,US,2017-08-05,2018-06-11,13:53,0:16,310 days 00:00:00.000000000
67,1794.0,2,1,2,2,27.68,GLOUCESTER,VA,US,2017-08-04,2018-09-29,9:55,4:13,421 days 00:00:00.000000000
68,1827.0,1,1,1,1,16.98,Kailua-Kona,HI,US,2017-08-02,2018-06-26,2:22,2:49,328 days 00:00:00.000000000
69,1877.0,1,1,1,1,12.99,PASADENA,TX,US,2017-08-06,2019-01-16,21:45,18:15,528 days 00:00:00.000000000
70,1896.0,1,1,1,1,13.99,CENTREVILLE,VA,US,2017-08-08,2019-03-02,18:45,13:13,571 days 00:00:00.000000000
71,1940.0,1,1,1,1,11.75,CAMPBELL,CA,US,2017-08-06,2019-07-02,4:03,20:15,695 days 00:00:00.000000000
72,1945.0,1,1,1,1,12.75,Glastonbury,CT,US,2017-07-10,2019-04-29,14:08,5:20,658 days 00:00:00.000000000
73,2019.0,1,1,1,1,14.98,pleasantville,NY,US,2017-08-12,2018-01-01,14:32,13:24,142 days 00:00:00.000000000
74,2113.0,1,1,1,1,12.75,AUBURN,WA,US,2017-08-14,2019-04-06,10:45,22:15,600 days 00:00:00.000000000
75,2182.0,2,1,2,2,27.97,ROCHESTER,NY,US,2017-07-25,2019-01-07,6:16,8:18,531 days 00:00:00.000000000
76,2247.0,2,1,2,2,28.96,CHICAGO,IL,US,2017-08-16,2018-04-28,6:31,7:06,255 days 00:00:00.000000000
77,2307.0,1,1,1,1,14.98,SAN DIEGO,CA,US,2017-08-18,2018-07-22,16:32,23:00,338 days 00:00:00.000000000
78,2327.0,1,1,1,1,14.98,LOS ANGELES,CA,US,2017-08-13,2018-02-18,11:31,6:41,189 days 00:00:00.000000000
79,2335.0,1,1,1,1,14.98,COLLEGE PLACE,WA,US,2017-08-20,2018-08-01,6:20,17:27,346 days 00:00:00.000000000
80,2362.0,2,2,3,1,57.97,GLENWOOD,AR,US,2017-08-18,2019-03-24,8:02,19:16,583 days 00:00:00.000000000
81,2375.0,1,1,1,1,11.75,OROVILLE,CA,US,2017-08-21,2019-07-16,15:42,17:32,694 days 00:00:00.000000000
82,2407.0,1,1,1,1,13.99,CLINTON,MA,US,2017-08-21,2018-11-14,16:36,19:07,450 days 00:00:00.000000000
83,2426.0,1,1,1,1,14.98,Lima,OH,US,2017-08-22,2018-01-26,10:34,8:58,157 days 00:00:00.000000000
84,2472.0,2,1,2,2,29.96,NEW YORK,NY,US,2017-08-22,2018-08-14,23:27,14:22,357 days 00:00:00.000000000
85,2489.0,1,1,1,1,13.99,ARLINGTON,TN,US,2017-08-23,2019-02-27,14:05,12:53,553 days 00:00:00.000000000
86,2501.0,2,1,2,2,29.96,HOUSTON,TX,US,2017-08-17,2018-01-12,15:39,22:09,148 days 00:00:00.000000000
87,2532.0,5,1,5,5,71.91,ROSLINDALE,MA,US,2017-08-11,2018-11-11,23:48,12:55,457 days 00:00:00.000000000
88,2533.0,1,1,1,1,14.98,VANCOUVER,WA,US,2017-08-25,2018-01-14,0:25,23:06,142 days 00:00:00.000000000
89,2543.0,5,1,5,5,73.9,BRADENTON,FL,US,2017-08-19,2018-05-14,6:26,6:52,268 days 00:00:00.000000000
90,2606.0,1,1,1,1,12.75,Northfield,IL,US,2017-08-26,2019-05-04,12:38,14:56,616 days 00:00:00.000000000
91,2607.0,1,1,1,1,13.98,RIVIERA BEACH,FL,US,2017-08-27,2018-05-26,8:29,9:21,272 days 00:00:00.000000000
92,2615.0,1,1,1,1,13.79,Laredo,TX,US,2017-08-27,2019-06-29,9:19,13:23,671 days 00:00:00.000000000
93,2643.0,1,1,1,1,14.98,EDGEWATER,NJ,US,2017-08-11,2018-02-13,5:35,22:28,186 days 00:00:00.000000000
94,2646.0,7,2,13,5,290.79,Long Beach,CA,US,2017-08-28,2019-06-11,17:05,18:08,652 days 00:00:00.000000000
95,2658.0,3,2,4,2,74.93,HOLTSVILLE,NY,US,2017-08-28,2019-02-28,20:34,12:28,549 days 00:00:00.000000000
96,2671.0,2,1,2,2,29.96,Webster,MA,US,2017-08-28,2018-06-15,8:57,7:51,291 days 00:00:00.000000000
97,2698.0,1,1,1,1,14.45,NORTHFIELD,IL,US,2017-08-29,2019-02-16,17:42,9:54,536 days 00:00:00.000000000
98,2706.0,1,1,1,1,14.98,PHOENIX,AZ,US,2017-08-26,2018-01-21,23:21,2:00,148 days 00:00:00.000000000
99,2751.0,3,1,3,3,44.94,Colorado Springs,CO,US,2017-08-30,2018-09-04,17:11,17:50,370 days 00:00:00.000000000
100,2767.0,1,1,1,1,12.75,VERNON HILLS,IL,US,2017-08-31,2019-04-13,20:43,10:36,590 days 00:00:00.000000000
101,2807.0,1,1,1,1,14.98,PORTLAND,OR,US,2017-09-01,2018-01-05,16:30,9:52,126 days 00:00:00.000000000
102,2817.0,1,1,1,1,13.98,ALLSTON,MA,US,2017-09-01,2018-04-24,4:21,5:29,235 days 00:00:00.000000000
103,2823.0,19,1,19,19,258.48,ANN ARBOR,MI,US,2017-09-02,2019-07-24,18:42,14:29,690 days 00:00:00.000000000
104,2828.0,1,1,1,1,14.98,Webster,NY,US,2017-09-02,2018-10-02,10:22,13:03,395 days 00:00:00.000000000
105,2886.0,1,1,1,1,12.99,SAUSALITO,CA,US,2017-09-04,2018-10-14,0:41,1:22,405 days 00:00:00.000000000
106,2891.0,1,1,1,1,14.98,SCOTTSDALE,AZ,US,2017-09-04,2018-01-04,8:28,18:11,122 days 00:00:00.000000000
107,2894.0,1,1,1,1,14.98,Miami,FL,US,2017-09-02,2018-06-22,21:17,13:11,293 days 00:00:00.000000000
108,2917.0,1,1,1,1,11.75,WESTON,FL,US,2017-09-04,2019-07-09,17:33,17:18,673 days 00:00:00.000000000
109,2965.0,1,1,1,1,14.98,CINCINNATI,OH,US,2017-09-05,2018-08-21,20:50,11:33,350 days 00:00:00.000000000
110,3007.0,1,1,1,1,14.98,ASHEVILLE,NC,US,2017-09-06,2017-12-28,12:47,12:35,113 days 00:00:00.000000000
111,3032.0,4,1,4,4,54.65,Pflugerville,TX,US,2017-09-06,2018-11-20,13:38,18:16,440 days 00:00:00.000000000
112,3036.0,2,1,4,2,53.95,ANAHEIM,CA,US,2017-09-06,2018-10-30,20:17,1:19,419 days 00:00:00.000000000
113,3053.0,1,1,1,1,14.98,cdm,CA,US,2017-08-29,2017-12-29,15:39,3:14,122 days 00:00:00.000000000
114,3077.0,2,1,2,2,29.96,FULLERTON,CA,US,2017-08-27,2018-02-24,2:48,2:26,181 days 00:00:00.000000000
115,3173.0,1,1,1,1,14.98,LAS VEGAS,NV,US,2017-09-07,2018-01-02,10:42,1:26,117 days 00:00:00.000000000
116,3185.0,4,1,4,4,57.93,Silver Spring,MD,US,2017-09-02,2019-01-02,0:54,5:38,487 days 00:00:00.000000000
117,3190.0,1,1,1,1,14.98,STATE COLLEGE,PA,US,2017-09-11,2018-08-21,10:44,10:34,344 days 00:00:00.000000000
118,3228.0,1,1,1,1,12.99,PORTLAND,OR,US,2017-09-11,2019-01-10,14:01,10:40,486 days 00:00:00.000000000
119,3315.0,1,1,1,1,13.98,PASO ROBLES,CA,US,2017-09-13,2018-04-30,17:52,9:14,229 days 00:00:00.000000000
120,3410.0,5,2,7,3,99.65,PELHAM,NH,US,2017-09-17,2019-07-26,6:19,21:35,677 days 00:00:00.000000000
121,3434.0,1,1,1,1,12.99,OXFORD,OH,US,2017-09-17,2018-12-29,12:29,12:26,468 days 00:00:00.000000000
122,3461.0,1,1,1,1,12.99,ORLANDO,FL,US,2017-09-16,2018-12-09,18:50,3:20,449 days 00:00:00.000000000
123,3489.0,1,1,2,1,29.96,BATON ROUGE,LA,US,2017-09-18,2018-04-04,20:47,8:35,198 days 00:00:00.000000000
124,3567.0,1,1,1,1,13.98,GUNTERSVILLE,AL,US,2017-09-19,2018-05-23,21:34,13:13,246 days 00:00:00.000000000
125,3603.0,1,1,1,1,12.99,WATERTOWN,MA,US,2017-09-21,2018-12-07,0:25,19:11,442 days 00:00:00.000000000
126,3605.0,2,1,3,2,42.95,TILDEN,IL,US,2017-09-20,2018-10-23,15:53,7:12,398 days 00:00:00.000000000
127,3636.0,4,1,5,4,66.45,SANTA BARBARA,CA,US,2017-09-21,2019-06-14,20:51,9:54,631 days 00:00:00.000000000
128,3685.0,3,1,16,3,219.78,CARLSBAD,CA,US,2017-09-21,2019-01-28,9:52,18:34,494 days 00:00:00.000000000
129,3777.0,1,1,1,1,14.98,Chesapeake,VA,US,2017-09-25,2018-03-19,6:23,11:07,175 days 00:00:00.000000000
130,3807.0,1,1,1,1,11.75,MIDLOTHIAN,VA,US,2017-09-26,2019-05-20,5:56,21:46,601 days 00:00:00.000000000
131,3832.0,1,1,1,1,13.98,Cary,NC,US,2017-09-26,2018-05-26,8:44,19:28,242 days 00:00:00.000000000
132,3882.0,3,1,6,3,85.9,TEMECULA,CA,US,2017-09-27,2019-03-11,17:38,10:02,530 days 00:00:00.000000000
133,3899.0,3,1,6,3,85.6,AUSTIN,TX,US,2017-09-26,2018-09-26,16:45,17:10,365 days 00:00:00.000000000
134,3927.0,1,1,1,1,11.75,San Antonio,TX,US,2017-09-29,2019-08-04,10:23,10:55,674 days 00:00:00.000000000
135,3928.0,1,1,1,1,14.98,BENICIA,CA,US,2017-09-06,2017-12-22,8:46,0:41,107 days 00:00:00.000000000
136,3976.0,4,1,4,4,56.69,Valencia,CA,US,2017-09-30,2019-05-09,12:39,14:22,586 days 00:00:00.000000000
137,4059.0,1,1,1,1,12.75,SANTA CLARA,CA,US,2017-10-01,2019-04-15,21:49,23:12,561 days 00:00:00.000000000
138,4073.0,2,1,6,2,89.88,SUGAR LAND,TX,US,2017-10-02,2018-03-27,19:53,18:11,176 days 00:00:00.000000000
139,4074.0,1,1,1,1,12.99,TINLEY PARK,IL,US,2017-09-30,2019-01-21,8:30,12:31,478 days 00:00:00.000000000
140,4075.0,1,1,2,1,25.98,WALLED LAKE,MI,US,2017-10-01,2019-01-15,17:51,5:03,471 days 00:00:00.000000000
141,4085.0,1,1,1,1,12.7,Quincy,MA,US,2017-10-01,2018-10-01,10:41,12:13,365 days 00:00:00.000000000
142,4098.0,1,1,1,1,10.99,SAN FRANCISCO,CA,US,2017-10-03,2018-11-30,10:17,13:57,423 days 00:00:00.000000000
143,4130.0,1,1,1,1,14.98,SAN JOSE,CA,US,2017-09-30,2018-03-26,22:44,2:53,177 days 00:00:00.000000000
144,4136.0,1,1,1,1,12.99,PACIFIC GROVE,CA,US,2017-10-03,2018-11-19,11:20,13:32,412 days 00:00:00.000000000
145,4138.0,1,1,1,1,14.98,Owosso,MI,US,2017-10-04,2018-08-08,5:43,5:13,308 days 00:00:00.000000000
146,4140.0,1,1,1,1,14.98,TYLER,TX,US,2017-10-03,2017-12-18,5:27,22:11,76 days 00:00:00.000000000
147,4145.0,4,1,4,4,56.64,VILLA RICA,GA,US,2017-09-30,2018-09-25,18:48,12:01,360 days 00:00:00.000000000
148,4203.0,12,1,20,12,266.44,MATHER,CA,US,2017-10-05,2019-08-12,9:56,6:45,676 days 00:00:00.000000000
149,4248.0,5,1,8,5,109.55,DAMASCUS,OR,US,2017-10-05,2019-08-06,15:09,15:19,670 days 00:00:00.000000000
150,4251.0,4,1,4,4,54.46,WILLIAMSTON,MI,US,2017-09-12,2019-05-14,6:16,15:59,609 days 00:00:00.000000000
151,4282.0,1,1,1,1,12.75,MORRISVILLE,NC,US,2017-09-14,2019-04-25,19:41,18:55,588 days 00:00:00.000000000
152,4326.0,1,1,1,1,13.99,DENVER,CO,US,2017-10-06,2019-04-04,15:22,10:21,545 days 00:00:00.000000000
153,4338.0,1,1,1,1,13.9,REPUBLIC,MO,US,2017-10-08,2018-10-03,18:36,9:50,360 days 00:00:00.000000000
154,4348.0,1,1,1,1,14.98,OWENSBORO,KY,US,2017-09-14,2018-01-01,18:33,21:43,109 days 00:00:00.000000000
155,4395.0,1,1,1,1,10.99,YONKERS,NY,US,2017-10-09,2018-11-27,22:16,13:05,414 days 00:00:00.000000000
156,4407.0,1,1,1,1,14.98,DALEVILLE,IN,US,2017-10-08,2018-09-06,12:12,5:53,333 days 00:00:00.000000000
157,4413.0,2,1,2,2,130.98,ALTADENA,CA,US,2017-10-10,2019-08-13,0:53,0:13,672 days 00:00:00.000000000
158,4458.0,2,1,2,2,27.97,West Linn,OR,US,2017-10-09,2018-11-03,16:03,5:35,390 days 00:00:00.000000000
159,4465.0,1,1,1,1,33.99,MARSING,ID,US,2017-10-11,2019-01-21,17:31,9:44,467 days 00:00:00.000000000
160,4466.0,2,1,4,2,55.94,HONOKAA,HI,US,2017-10-11,2018-10-19,0:16,14:02,373 days 00:00:00.000000000
161,4507.0,1,1,1,1,11.75,Buford,GA,US,2017-10-12,2019-06-11,12:36,5:39,607 days 00:00:00.000000000
162,4517.0,1,1,1,1,66.99,CYPRESS,TX,US,2017-10-12,2019-03-26,12:21,14:38,530 days 00:00:00.000000000
163,4551.0,1,1,1,1,14.98,SYKESVILLE,MD,US,2017-10-10,2018-01-18,11:01,16:06,100 days 00:00:00.000000000
164,4573.0,1,1,1,1,11.75,POMPANO BEACH,FL,US,2017-10-14,2019-06-15,6:33,15:55,609 days 00:00:00.000000000
165,4603.0,1,1,1,1,13.99,BISMARCK,ND,US,2017-10-15,2019-02-17,16:46,16:05,490 days 00:00:00.000000000
166,4639.0,1,1,1,1,12.99,DORAL,FL,US,2017-10-11,2018-11-12,8:23,6:52,397 days 00:00:00.000000000
